attn_type,dtype,"shape(B,Hq,M,Hkv,N,D)",cudnn_fwd_time,cudnn_fwd_TFlops,cudnn_fwd_mem_bw (TB/s),cudnn_bwd_time,cudnn_bwd_TFlops,cudnn_bwd_mem_bw (TB/s),flex_attn_fwd_time,flex_attn_fwd_TFlops,flex_attn_fwd_mem_bw (TB/s),flex_attn_bwd_time,flex_attn_bwd_TFlops,flex_attn_bwd_mem_bw (TB/s)
alibi,torch.bfloat16,"(4, 16, 16384, 16, 16384, 64)",20863.008499145508,212.45288040090378,0.025733149273365286,90605.5679321289,122.29949965084487,0.019326868756142403,16949.247360229492,131.77677829452352,0.0316752066088633,20214.784622192383,276.2232263899536,0.08662580149766064
sliding_window,torch.bfloat16,"(4, 16, 16384, 16, 16384, 64)",19821.56753540039,223.6153241440633,0.027085189455434026,90479.64477539062,122.46970742632605,0.019353766522260753,1861.664056777954,296.44796455659616,0.28838227286247387,5125.408172607422,269.1914974057772,0.3416551152664903
document_mask,torch.bfloat16,"(4, 16, 16384, 16, 16384, 64)",nan,,,nan,,,8751.13582611084,253.24748338649886,0.06134871206068287,14879.008293151855,372.37077247883843,0.11769076846378017
noop,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",4982.783794403076,1772.1926386801747,0.2154903500340679,20983.96873474121,1052.0475025723135,0.16660110526242236,15908.896446228027,555.0638154206908,0.06749316821749646,39272.4494934082,562.1277049486163,0.08901793570545652
causal,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",3148.927927017212,1402.1363723209365,0.340986471867932,10339.03980255127,1067.6103546865384,0.3381312434001208,8287.232398986816,536.9368351402835,0.12956579136495244,21268.48030090332,523.0416411316198,0.16437245795373165
alibi,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",19950.624465942383,442.61535650928744,0.05381996066503982,35355.777740478516,624.3995553848398,0.09887923862575693,9231.648445129395,482.0071261196765,0.11631095252186568,29444.095611572266,377.8109196394496,0.11873186495923493
sliding_window,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",19343.360900878906,456.510779374166,0.055509579204057156,34858.1428527832,633.3134841599101,0.10029083875077616,2278.1119346618652,482.6342524399247,0.47132970406889735,7195.744037628174,381.9948447340861,0.4858361228135512
document_mask,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",nan,,,nan,,,11590.880393981934,380.92243472552923,0.09263677887294,34156.54373168945,323.1610913981089,0.10235088220464639
noop,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",16703.231811523438,1061.448778173363,0.06428347736030542,46832.70263671875,946.4340086998977,0.07478201433658237,38788.0973815918,457.08931849547724,0.0276822503933792,114976.76849365234,385.5045073489524,0.030460447670290478
causal,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",8313.440322875977,1066.3229847877562,0.12915733827371081,26130.399703979492,848.1321180856206,0.13402947829637032,19547.136306762695,455.2810464461269,0.05493090175201362,60181.82373046875,369.68972195929007,0.05819437868292599
alibi,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",nan,,,nan,,,65582.11517333984,135.69920166871594,0.016372479313331037,76704.0023803711,290.05789778205263,0.045659205925559894
sliding_window,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",85143.58520507812,208.23207004008768,0.012610953854171976,353565.7043457031,125.36301442682239,0.009905496480438156,3768.1920528411865,302.68241621814974,0.28494880540666906,10332.063674926758,275.97716952128764,0.33896847233907773
document_mask,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",nan,,,nan,,,31843.32847595215,278.3883759399914,0.03371952227955322,53733.31069946289,412.4449239935169,0.06517826269050286
noop,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",24929.279327392578,1416.8805515164647,0.08614302963986291,80617.46978759766,1095.3522584920538,0.08672939979909476,62812.16049194336,562.3403297333575,0.03418897919098721,152741.88232421875,578.1291042251247,0.045775949998825984
causal,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",15406.111717224121,1146.3570980993863,0.13939167048873863,43844.1276550293,1007.0279913030806,0.15947186412313005,32021.53778076172,553.6865079601511,0.06706372638013001,79840.41595458984,555.1666164736691,0.08757350127004256
alibi,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",nan,,,nan,,,35698.7190246582,496.65349115461026,0.06015576207417043,111737.76245117188,396.68535158585627,0.06257423287006829
sliding_window,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",81400.03204345703,433.92871176569986,0.026381852612214245,139463.68408203125,633.17219953705,0.05013423253531311,4657.15217590332,487.9139164876564,0.46111519806274437,15322.815895080566,370.736255885174,0.45630677911132317
document_mask,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",nan,,,nan,,,42747.90573120117,413.14083623660474,0.05023599662410077,123829.18548583984,356.5578149420107,0.05646411014146209
