attn_type,dtype,"shape(B,Hq,M,Hkv,N,D)",flex_attn_fwd_time,flex_attn_fwd_TFlops,flex_attn_fwd_mem_bw (TB/s),flex_attn_bwd_time,flex_attn_bwd_TFlops,flex_attn_bwd_mem_bw (TB/s)
document_mask,torch.bfloat16,"(4, 16, 16384, 16, 16384, 128)",7447.58415222168,592.8400794197,0.14417317106510216,11852.767944335938,931.2648321943012,0.2949481842906243
noop,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",17244.447708129883,1028.1352756533558,0.06226594450420033,52550.559997558594,843.4555692038148,0.06664522395503888
causal,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",10992.639541625977,812.73190235714,0.09767825279215672,29347.007751464844,761.0715308910889,0.11933904368240701
alibi,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",14459.936141967773,617.8498133655113,0.07425633235568911,32196.96044921875,693.7043685135177,0.10877560462652248
sliding_window,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",1926.1759519577026,626.9715707355687,0.5574474247322442,5336.128234863281,565.7929818017866,0.656326775866872
document_mask,torch.bfloat16,"(4, 16, 32768, 16, 32768, 64)",15337.504386901855,577.9827196994643,0.07000759686282272,32427.936553955078,683.4240350287415,0.1080008231227666
noop,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",24308.767318725586,1453.0482183312856,0.08834193934407136,79827.45361328125,1106.1924639804417,0.08758772141062916
causal,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",14556.28776550293,1222.762398783962,0.1475296231151283,43200.51193237305,1030.0156496639859,0.16184772946545795
alibi,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",16146.463394165039,1102.339311775736,0.13300024875887378,41779.518127441406,1065.048266667623,0.16735245118606606
sliding_window,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",2028.5758972167969,1186.0307721278582,1.0586163677416973,6875.455856323242,874.8341520814525,1.016936900492156
document_mask,torch.bfloat16,"(4, 16, 32768, 16, 32768, 128)",16860.031127929688,1047.5013591105187,0.12737127421090938,42864.63928222656,1030.039317773691,0.1631159129081749
