attn_type,dtype,"shape(B,Hq,M,Hkv,N,D)",cudnn_fwd_time,cudnn_fwd_TFlops,cudnn_fwd_mem_bw (TB/s),cudnn_bwd_time,cudnn_bwd_TFlops,cudnn_bwd_mem_bw (TB/s),flex_attn_fwd_time,flex_attn_fwd_TFlops,flex_attn_fwd_mem_bw (TB/s),flex_attn_bwd_time,flex_attn_bwd_TFlops,flex_attn_bwd_mem_bw (TB/s)
document_mask,torch.bfloat16,"(4, 16, 2048, 16, 2048, 128)",nan,,,nan,,,347.4240005016327,198.56979394742706,0.38632255631795154,1026.911973953247,167.94991669641604,0.42554187611400407
noop,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",593.3120250701904,466.9134938892013,0.22621777804709367,1621.1199760437012,427.21296801867936,0.2700481682228056,733.2800030708313,377.7893702703914,0.18303748559611985,2275.007963180542,304.4224405754482,0.19243030665614344
causal,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",334.46401357650757,414.13332876936147,0.4012919852416294,1018.2080268859863,340.0893816355416,0.4299519041692061,423.552006483078,337.24599302472404,0.31688606344817855,1316.0320520401,271.348286697442,0.33265183725681835
alibi,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",1052.8639554977417,263.1160361654096,0.1274786996925434,2809.056043624878,246.54669245626667,0.15584611812695517,490.4640018939972,291.2369031619,0.2736545954070002,1396.3520526885986,255.73997751671425,0.31351726748070297
sliding_window,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",1051.0400533676147,263.5726295152967,0.12769991740082204,2757.823944091797,251.12679073068028,0.15874127169643143,340.256005525589,324.39487406989815,0.3944610111809067,1078.752040863037,255.79859847981035,0.4058212299183799
document_mask,torch.bfloat16,"(4, 16, 4096, 16, 4096, 64)",nan,,,nan,,,822.8800296783447,168.32671872003402,0.16310728558142837,1811.519980430603,191.15535129658792,0.24166472615772003
noop,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",789.3120050430298,699.2207061463771,0.3400878920945414,2520.6079483032227,547.391054911495,0.34673702294255465,1290.0160551071167,427.8266889400633,0.20808691096306584,3862.0479106903076,357.2607786715365,0.2263017228711133
causal,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",460.60800552368164,599.103023522704,0.5827850423372607,1577.9839754104614,437.19019500217064,0.5538637334847842,730.4959893226624,389.56427133277833,0.3674701297797697,2217.4720764160156,320.8328312435211,0.39413713719118454
alibi,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",1564.6719932556152,352.7277920963192,0.1715602101635794,5027.520179748535,274.44111500493517,0.1738407932245664,766.1759853363037,371.4226799566019,0.35035743894031546,2374.3999004364014,299.6284848012509,0.36808799387136343
sliding_window,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",1545.4399585723877,357.117269082278,0.1736951697871002,4810.624122619629,286.81481002690595,0.18167873309629295,558.9439868927002,393.4186166568668,0.48025466289081176,1843.4879779815674,298.2104748423246,0.4740948172371205
document_mask,torch.bfloat16,"(4, 16, 4096, 16, 4096, 128)",nan,,,nan,,,1043.67995262146,264.4025575799164,0.2572009314979732,3086.496114730835,223.515305471286,0.2831651372664107
noop,torch.bfloat16,"(4, 16, 8192, 16, 8192, 64)",2282.9439640045166,485.3827250425704,0.11758302447736686,6072.480201721191,456.19809598305415,0.14418506621920807,2805.0880432128906,395.0327210046509,0.09569591109608792,8549.69596862793,324.0178266087016,0.10240843220773752
causal,torch.bfloat16,"(4, 16, 8192, 16, 8192, 64)",1206.3679695129395,459.27179366979806,0.22251540390978594,3415.616035461426,405.527711130118,0.2563405695809476,1493.4719800949097,376.77829389490125,0.17973919804169414,4640.704154968262,303.137091834207,0.18866985068691328
alibi,torch.bfloat16,"(4, 16, 8192, 16, 8192, 64)",4309.728145599365,257.1163481621167,0.062285937054776336,10815.391540527344,256.1399553163959,0.08095508671314446,1759.0080499649048,319.90065346842897,0.15260615550074133,4897.727966308594,287.2290113450868,0.17876880178380106
sliding_window,torch.bfloat16,"(4, 16, 8192, 16, 8192, 64)",4302.112102508545,257.5715220721167,0.06239620205235384,10604.127883911133,261.2429740802262,0.08256793671155406,737.7600073814392,349.09325558337315,0.36385200243202204,2389.535903930664,269.4529954460491,0.36641464920436945
